"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.7%","±0.3","8.8%","±0.5","8.5%","±0.5","8.1%","±0.3","8.4%","±0.5","7.9%","±0.4","29.3%","±0.1","28.1%","±0.1","30.4%","±0.1","8.4%","±0.4","9.1%","±0.7","7.7%","±0.2","9.0%","±0.4","9.1%","±0.6","9.0%","±0.6","9.4%","±0.6","9.1%","±1.0","9.6%","±0.9","8.3%","±0.8","8.9%","±1.0","7.7%","±0.8","8.0%","±0.2","8.4%","±0.3","7.6%","±0.4","8.1%","±0.3","8.0%","±0.4","8.2%","±0.4","7.5%","±0.4","7.8%","±0.5","7.2%","±0.5","7.2%","±1.1","7.6%","±1.8","6.9%","±0.9","7.1%","±0.5","8.0%","±0.5","6.2%","±0.6","11.2%","±0.6","11.6%","±0.7","10.9%","±0.9","11.8%","±0.6","11.9%","±0.8","11.7%","±1.0","8.5%","±0.3","8.8%","±0.4","8.2%","±0.4"
"    15 to 44 years","38.6%","±0.8","38.3%","±1.2","39.0%","±0.9","42.2%","±0.1","43.2%","±0.3","41.3%","±0.3","58.9%","±0.1","59.5%","±0.2","58.4%","±0.1","35.8%","±0.3","36.8%","±0.5","35.0%","±0.6","36.4%","±0.6","37.3%","±0.7","35.5%","±1.0","38.3%","±0.5","37.5%","±0.9","39.0%","±0.8","34.3%","±0.4","35.9%","±0.5","32.8%","±0.5","39.4%","±0.4","40.1%","±0.4","38.8%","±0.5","37.2%","±0.4","37.8%","±0.7","36.6%","±0.4","36.5%","±0.4","37.0%","±0.6","36.1%","±0.7","36.5%","±0.8","36.8%","±1.4","36.3%","±0.9","33.2%","±0.6","33.7%","±0.6","32.6%","±1.0","36.8%","±0.6","37.2%","±1.0","36.4%","±0.5","30.3%","±0.5","29.9%","±0.8","30.6%","±1.0","34.4%","±0.5","35.8%","±1.1","33.0%","±0.6"
"    16 years and over","78.7%","±0.5","77.1%","±0.9","80.5%","±1.1","75.3%","±0.3","73.5%","±0.5","77.0%","±0.4","84.0%","±0.2","83.0%","±0.3","85.0%","±0.2","79.9%","±0.4","79.8%","±0.5","80.0%","±0.8","80.4%","±0.6","79.1%","±0.9","81.7%","±1.0","79.4%","±0.5","77.7%","±0.8","81.0%","±0.8","81.0%","±0.4","80.3%","±0.8","81.6%","±0.9","76.9%","±0.3","76.0%","±0.5","77.8%","±0.4","79.4%","±0.4","78.4%","±1.1","80.4%","±0.9","76.3%","±0.3","75.5%","±0.8","77.1%","±0.8","80.3%","±0.7","79.1%","±1.1","81.5%","±0.9","83.9%","±0.7","82.7%","±1.0","85.1%","±1.0","79.5%","±0.5","77.7%","±1.1","81.2%","±0.9","87.2%","±0.8","85.0%","±1.4","89.1%","±0.7","81.2%","±0.8","79.9%","±1.3","82.5%","±1.0"
"    18 years and over","75.7%","±0.2","74.3%","±0.7","77.1%","±0.8","72.3%","*****","70.4%","±0.4","74.2%","±0.4","82.6%","±0.1","81.4%","±0.2","83.7%","±0.2","77.5%","*****","77.1%","±0.5","77.8%","±0.5","78.0%","±0.2","76.6%","±0.8","79.3%","±0.7","76.8%","±0.2","75.0%","±0.7","78.3%","±0.7","78.2%","*****","77.3%","±0.7","79.0%","±0.7","73.9%","±0.1","72.9%","±0.3","74.8%","±0.3","76.5%","±0.1","75.7%","±0.9","77.3%","±0.9","72.6%","±0.1","71.6%","±0.6","73.5%","±0.6","77.4%","*****","76.5%","±0.6","78.3%","±0.6","81.0%","±0.6","80.1%","±0.8","81.9%","±0.9","77.5%","*****","75.9%","±0.7","79.1%","±0.7","84.8%","±0.8","83.0%","±1.3","86.4%","±0.6","78.5%","±0.4","77.0%","±0.9","79.9%","±0.5"
"    60 years and over","20.9%","±0.9","19.7%","±1.4","22.2%","±1.1","15.5%","±0.4","13.6%","±0.5","17.2%","±0.7","13.0%","±0.3","11.5%","±0.4","14.3%","±0.4","25.3%","±0.9","23.4%","±1.4","27.1%","±1.3","24.6%","±0.9","21.5%","±1.2","27.5%","±1.2","22.7%","±0.6","22.1%","±0.9","23.3%","±0.8","26.2%","±0.9","24.3%","±1.2","28.0%","±1.2","18.3%","±0.5","16.2%","±0.7","20.3%","±0.7","21.7%","±0.7","19.6%","±1.1","23.7%","±0.9","18.3%","±0.7","17.8%","±0.9","18.8%","±0.9","22.4%","±0.9","20.6%","±1.2","24.2%","±1.2","31.8%","±1.1","30.2%","±1.4","33.4%","±1.5","23.9%","±1.0","22.5%","±1.4","25.2%","±1.4","38.9%","±1.0","36.1%","±1.5","41.5%","±1.6","24.9%","±0.9","23.8%","±1.2","26.1%","±1.4"
"    62 years and over","17.7%","±0.9","16.5%","±1.4","19.0%","±1.0","13.1%","±0.3","11.7%","±0.4","14.4%","±0.5","11.3%","±0.3","9.8%","±0.4","12.7%","±0.4","21.7%","±0.8","20.0%","±1.0","23.2%","±1.2","21.6%","±0.7","18.9%","±0.8","24.1%","±1.1","20.3%","±0.6","19.4%","±0.9","21.1%","±0.8","23.8%","±0.8","21.3%","±1.0","26.2%","±1.1","15.9%","±0.5","14.3%","±0.7","17.5%","±0.6","19.0%","±0.8","17.5%","±1.0","20.4%","±1.0","15.8%","±0.7","15.3%","±1.0","16.3%","±0.8","19.9%","±0.8","18.1%","±1.0","21.6%","±1.2","28.7%","±1.1","26.9%","±1.2","30.5%","±1.5","20.9%","±0.8","19.7%","±1.2","21.9%","±1.4","36.0%","±0.9","34.0%","±1.5","37.9%","±1.5","22.3%","±0.9","20.9%","±1.0","23.6%","±1.3"
"    65 years and over","14.6%","±0.7","13.8%","±1.2","15.4%","±0.4","10.5%","±0.2","8.7%","±0.2","12.1%","±0.3","9.1%","±0.1","7.6%","±0.1","10.4%","±0.1","17.8%","±0.1","16.0%","±0.1","19.5%","±0.1","18.0%","±0.4","15.8%","±0.6","20.2%","±0.5","16.4%","±0.2","15.8%","±0.3","16.9%","±0.3","19.4%","±0.1","17.4%","±0.3","21.4%","±0.2","12.6%","±0.1","11.3%","±0.2","13.9%","±0.2","14.7%","±0.3","13.7%","±0.5","15.6%","±0.3","12.1%","±0.2","11.4%","±0.4","12.7%","±0.2","16.1%","±0.2","14.8%","±0.4","17.5%","±0.1","23.6%","±0.5","22.1%","±0.4","25.1%","±0.8","17.4%","±0.3","16.1%","±0.5","18.6%","±0.8","30.7%","±0.5","30.0%","±1.0","31.4%","±0.4","18.9%","±0.3","17.7%","±0.3","20.2%","±0.5"
"    75 years and over","4.7%","±0.1","4.2%","±0.1","5.1%","±0.1","4.0%","±0.2","3.1%","±0.2","4.9%","±0.3","4.0%","±0.1","3.0%","±0.1","4.8%","±0.1","7.6%","±0.1","5.5%","±0.3","9.5%","±0.1","7.7%","±0.3","6.1%","±0.6","9.2%","±0.1","7.1%","±0.2","6.2%","±0.2","7.8%","±0.3","8.0%","±0.3","6.3%","±0.3","9.7%","±0.5","4.6%","±0.2","3.7%","±0.2","5.5%","±0.2","5.4%","±0.2","4.3%","±0.3","6.4%","±0.4","4.5%","±0.1","3.7%","±0.1","5.3%","±0.1","6.0%","±0.3","5.5%","±0.6","6.6%","±0.5","9.6%","±0.4","8.2%","±0.2","11.0%","±0.6","6.7%","±0.2","5.4%","±0.1","7.9%","±0.4","14.0%","±0.5","13.7%","±1.0","14.3%","±0.3","7.4%","±0.3","6.8%","±0.2","8.1%","±0.4"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","39.5","±1.0","39.0","±1.5","39.8","±1.0","34.4","±0.2","32.5","±0.5","35.6","±0.3","26.4","±0.2","26.1","±0.3","26.6","±0.2","41.6","±0.8","39.9","±1.5","42.9","±0.8","40.3","±1.0","39.3","±0.5","42.8","±1.0","38.9","±0.6","38.4","±1.2","39.3","±0.9","43.3","±0.5","41.2","±1.0","44.9","±0.4","38.0","±0.4","36.9","±0.7","38.6","±0.6","39.6","±0.9","38.8","±0.7","40.2","±1.0","39.3","±0.4","38.3","±0.6","40.0","±0.9","41.6","±0.8","40.8","±1.4","42.9","±1.2","47.3","±1.0","46.1","±1.3","48.5","±0.7","40.9","±0.5","39.8","±1.1","42.1","±1.0","52.1","±0.8","50.1","±2.0","53.4","±0.6","43.7","±0.7","41.3","±1.6","46.2","±0.5"
"    Sex ratio (males per 100 females)","105.4","±2.9","(X)","(X)","(X)","(X)","98.1","±1.0","(X)","(X)","(X)","(X)","90.7","±0.4","(X)","(X)","(X)","(X)","90.1","±1.2","(X)","(X)","(X)","(X)","96.3","±1.6","(X)","(X)","(X)","(X)","88.9","±1.8","(X)","(X)","(X)","(X)","97.9","±2.0","(X)","(X)","(X)","(X)","98.3","±1.0","(X)","(X)","(X)","(X)","97.3","±2.2","(X)","(X)","(X)","(X)","94.5","±1.7","(X)","(X)","(X)","(X)","98.0","±1.7","(X)","(X)","(X)","(X)","96.0","±3.0","(X)","(X)","(X)","(X)","93.3","±2.0","(X)","(X)","(X)","(X)","92.6","±2.0","(X)","(X)","(X)","(X)","97.5","±1.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.7","±1.8","(X)","(X)","(X)","(X)","61.7","±0.5","(X)","(X)","(X)","(X)","36.1","±0.2","(X)","(X)","(X)","(X)","67.7","±0.1","(X)","(X)","(X)","(X)","66.8","±1.2","(X)","(X)","(X)","(X)","65.6","±0.9","(X)","(X)","(X)","(X)","70.1","±0.4","(X)","(X)","(X)","(X)","63.3","±0.4","(X)","(X)","(X)","(X)","61.7","±0.8","(X)","(X)","(X)","(X)","65.1","±0.6","(X)","(X)","(X)","(X)","63.2","±0.6","(X)","(X)","(X)","(X)","74.2","±1.8","(X)","(X)","(X)","(X)","66.3","±1.0","(X)","(X)","(X)","(X)","84.9","±2.2","(X)","(X)","(X)","(X)","68.0","±1.6","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.9","±1.3","(X)","(X)","(X)","(X)","16.9","±0.4","(X)","(X)","(X)","(X)","12.4","±0.1","(X)","(X)","(X)","(X)","29.9","±0.1","(X)","(X)","(X)","(X)","30.1","±0.9","(X)","(X)","(X)","(X)","27.1","±0.5","(X)","(X)","(X)","(X)","33.0","±0.3","(X)","(X)","(X)","(X)","20.6","±0.3","(X)","(X)","(X)","(X)","23.7","±0.6","(X)","(X)","(X)","(X)","19.9","±0.4","(X)","(X)","(X)","(X)","26.3","±0.4","(X)","(X)","(X)","(X)","41.2","±1.2","(X)","(X)","(X)","(X)","28.9","±0.7","(X)","(X)","(X)","(X)","56.8","±1.2","(X)","(X)","(X)","(X)","31.8","±0.7","(X)","(X)","(X)","(X)"
"    Child dependency ratio","39.8","±0.6","(X)","(X)","(X)","(X)","44.8","±0.2","(X)","(X)","(X)","(X)","23.7","±0.1","(X)","(X)","(X)","(X)","37.8","±0.1","(X)","(X)","(X)","(X)","36.7","±0.4","(X)","(X)","(X)","(X)","38.4","±0.5","(X)","(X)","(X)","(X)","37.1","±0.1","(X)","(X)","(X)","(X)","42.7","±0.1","(X)","(X)","(X)","(X)","38.0","±0.2","(X)","(X)","(X)","(X)","45.2","±0.2","(X)","(X)","(X)","(X)","36.8","±0.2","(X)","(X)","(X)","(X)","33.1","±1.2","(X)","(X)","(X)","(X)","37.4","±0.2","(X)","(X)","(X)","(X)","28.1","±1.7","(X)","(X)","(X)","(X)","36.2","±1.0","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)"
