"Label (Grouping)","Banks County, Georgia!!Estimate","Banks County, Georgia!!Estimate Margin of Error","Banks County, Georgia!!Percent","Banks County, Georgia!!Percent Margin of Error","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Estimate Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Estimate Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Elbert County, Georgia!!Estimate","Elbert County, Georgia!!Estimate Margin of Error","Elbert County, Georgia!!Percent","Elbert County, Georgia!!Percent Margin of Error","Franklin County, Georgia!!Estimate","Franklin County, Georgia!!Estimate Margin of Error","Franklin County, Georgia!!Percent","Franklin County, Georgia!!Percent Margin of Error","Habersham County, Georgia!!Estimate","Habersham County, Georgia!!Estimate Margin of Error","Habersham County, Georgia!!Percent","Habersham County, Georgia!!Percent Margin of Error","Hart County, Georgia!!Estimate","Hart County, Georgia!!Estimate Margin of Error","Hart County, Georgia!!Percent","Hart County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Estimate Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Madison County, Georgia!!Estimate","Madison County, Georgia!!Estimate Margin of Error","Madison County, Georgia!!Percent","Madison County, Georgia!!Percent Margin of Error","Oconee County, Georgia!!Estimate","Oconee County, Georgia!!Estimate Margin of Error","Oconee County, Georgia!!Percent","Oconee County, Georgia!!Percent Margin of Error","Oglethorpe County, Georgia!!Estimate","Oglethorpe County, Georgia!!Estimate Margin of Error","Oglethorpe County, Georgia!!Percent","Oglethorpe County, Georgia!!Percent Margin of Error","Rabun County, Georgia!!Estimate","Rabun County, Georgia!!Estimate Margin of Error","Rabun County, Georgia!!Percent","Rabun County, Georgia!!Percent Margin of Error","Stephens County, Georgia!!Estimate","Stephens County, Georgia!!Estimate Margin of Error","Stephens County, Georgia!!Percent","Stephens County, Georgia!!Percent Margin of Error","Towns County, Georgia!!Estimate","Towns County, Georgia!!Estimate Margin of Error","Towns County, Georgia!!Percent","Towns County, Georgia!!Percent Margin of Error","White County, Georgia!!Estimate","White County, Georgia!!Estimate Margin of Error","White County, Georgia!!Percent","White County, Georgia!!Percent Margin of Error"
"            1 or 2 years","34","±39","7.5%","±8.5","252","±186","12.6%","±8.6","139","±68","9.6%","±4.8","49","±51","6.6%","±6.7","120","±78","18.4%","±11.2","185","±148","24.8%","±16.5","95","±82","8.9%","±7.8","151","±112","8.3%","±5.9","240","±178","26.6%","±16.8","15","±21","3.2%","±4.3","70","±83","20.1%","±21.1","79","±80","28.9%","±24.2","15","±26","1.4%","±2.4","21","±33","15.1%","±21.6","171","±102","25.7%","±11.4"
"            3 or 4 years","50","±58","11.1%","±12.3","13","±23","0.7%","±1.1","57","±47","3.9%","±3.1","46","±65","6.2%","±8.3","66","±57","10.1%","±8.9","14","±17","1.9%","±2.5","183","±154","17.2%","±13.5","136","±86","7.5%","±4.7","72","±60","8.0%","±6.5","96","±62","20.2%","±12.2","81","±90","23.3%","±21.8","4","±9","1.5%","±3.1","340","±265","32.1%","±18.2","0","±132","0.0%","±24.6","111","±109","16.7%","±13.7"
"            5 or more years","96","±70","21.3%","±13.7","331","±161","16.6%","±7.1","293","±115","20.3%","±7.6","210","±107","28.1%","±13.0","64","±56","9.8%","±8.5","119","±86","16.0%","±11.1","168","±113","15.7%","±9.8","439","±203","24.2%","±9.5","164","±88","18.2%","±9.8","66","±49","13.9%","±10.1","101","±82","29.0%","±19.3","58","±63","21.2%","±20.6","71","±76","6.7%","±7.5","15","±21","10.8%","±15.3","0","±132","0.0%","±5.8"
"    Number of grandparents responsible for own grandchildren under 18 years","184","±97","184","(X)","944","±316","944","(X)","643","±165","643","(X)","419","±167","419","(X)","258","±109","258","(X)","325","±166","325","(X)","503","±203","503","(X)","956","±241","956","(X)","556","±225","556","(X)","199","±88","199","(X)","252","±144","252","(X)","162","±103","162","(X)","482","±283","482","(X)","46","±44","46","(X)","411","±239","411","(X)"
"    Who are female","101","±53","54.9%","±11.5","532","±181","56.4%","±6.8","445","±114","69.2%","±8.9","266","±90","63.5%","±10.1","164","±73","63.6%","±11.0","170","±81","52.3%","±6.8","290","±113","57.7%","±8.0","553","±131","57.8%","±6.3","259","±107","46.6%","±13.5","88","±53","44.2%","±17.8","128","±75","50.8%","±11.9","96","±55","59.3%","±13.4","334","±172","69.3%","±13.9","37","±34","80.4%","±26.1","231","±144","56.2%","±10.5"
"    Who are married","148","±94","80.4%","±16.6","765","±307","81.0%","±10.6","460","±162","71.5%","±12.0","273","±163","65.2%","±21.2","237","±109","91.9%","±10.0","298","±165","91.7%","±8.5","432","±190","85.9%","±12.6","758","±244","79.3%","±9.7","440","±210","79.1%","±10.7","158","±83","79.4%","±18.0","208","±137","82.5%","±17.6","132","±102","81.5%","±18.5","359","±269","74.5%","±21.9","21","±33","45.7%","±50.5","308","±211","74.9%","±20.6"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 3 years and over enrolled in school","4,185","±254","4,185","(X)","16,747","±506","16,747","(X)","49,390","±870","49,390","(X)","4,949","±278","4,949","(X)","5,070","±407","5,070","(X)","11,878","±2,236","11,878","(X)","5,457","±282","5,457","(X)","14,961","±456","14,961","(X)","6,994","±374","6,994","(X)","9,679","±364","9,679","(X)","3,860","±309","3,860","(X)","3,235","±267","3,235","(X)","6,515","±429","6,515","(X)","2,441","±408","2,441","(X)","5,676","±333","5,676","(X)"
"    Nursery school, preschool","200","±70","4.8%","±1.6","1,256","±279","7.5%","±1.6","1,852","±296","3.7%","±0.6","389","±147","7.9%","±2.9","267","±111","5.3%","±2.2","697","±207","5.9%","±2.0","477","±135","8.7%","±2.3","984","±214","6.6%","±1.3","530","±175","7.6%","±2.3","714","±164","7.4%","±1.7","293","±122","7.6%","±3.0","154","±87","4.8%","±2.6","236","±138","3.6%","±2.0","120","±54","4.9%","±2.0","298","±129","5.3%","±2.2"
"    Kindergarten","323","±97","7.7%","±2.3","926","±197","5.5%","±1.2","1,121","±190","2.3%","±0.4","354","±162","7.2%","±3.3","289","±109","5.7%","±2.2","681","±217","5.7%","±2.2","280","±102","5.1%","±1.9","1,005","±234","6.7%","±1.6","377","±145","5.4%","±2.1","562","±135","5.8%","±1.4","237","±123","6.1%","±3.2","149","±92","4.6%","±2.8","264","±149","4.1%","±2.2","77","±72","3.2%","±3.1","386","±147","6.8%","±2.6"
"    Elementary school (grades 1-8)","2,046","±156","48.9%","±4.3","8,291","±366","49.5%","±2.5","8,235","±263","16.7%","±0.6","2,084","±191","42.1%","±4.2","2,196","±171","43.3%","±4.4","4,331","±250","36.5%","±7.0","2,245","±178","41.1%","±3.3","6,903","±326","46.1%","±2.5","3,171","±208","45.3%","±2.9","4,180","±206","43.2%","±2.5","1,489","±210","38.6%","±6.2","1,636","±184","50.6%","±6.1","2,731","±205","41.9%","±4.1","774","±84","31.7%","±5.9","2,609","±197","46.0%","±4.5"
"    High school (grades 9-12)","984","±152","23.5%","±3.0","3,766","±315","22.5%","±1.9","4,052","±241","8.2%","±0.5","1,362","±121","27.5%","±2.4","1,068","±222","21.1%","±4.3","2,399","±225","20.2%","±5.1","1,489","±163","27.3%","±2.8","3,434","±336","23.0%","±2.1","1,822","±193","26.1%","±2.7","2,393","±158","24.7%","±1.6","1,131","±235","29.3%","±5.7","723","±103","22.3%","±3.0","1,408","±165","21.6%","±3.2","300","±62","12.3%","±3.8","1,247","±132","22.0%","±2.1"
"    College or graduate school","632","±152","15.1%","±3.2","2,508","±385","15.0%","±2.0","34,130","±838","69.1%","±0.8","760","±200","15.4%","±3.3","1,250","±404","24.7%","±6.5","3,770","±2,314","31.7%","±14.0","966","±243","17.7%","±4.1","2,635","±322","17.6%","±1.8","1,094","±236","15.6%","±3.0","1,830","±293","18.9%","±2.5","710","±213","18.4%","±4.4","573","±199","17.7%","±5.3","1,876","±428","28.8%","±5.0","1,170","±412","47.9%","±9.3","1,136","±292","20.0%","±4.2"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","11,769","±201","11,769","(X)","41,744","±220","41,744","(X)","59,171","±78","59,171","(X)","13,607","±133","13,607","(X)","14,829","±168","14,829","(X)","27,267","±1,723","27,267","(X)","17,414","±137","17,414","(X)","38,166","±206","38,166","(X)","18,669","±147","18,669","(X)","20,160","±167","20,160","(X)","9,630","±184","9,630","(X)","11,794","±156","11,794","(X)","17,538","±83","17,538","(X)","7,691","±350","7,691","(X)","18,526","±99","18,526","(X)"
"    Less than 9th grade","1,232","±208","10.5%","±1.8","2,942","±423","7.0%","±1.0","3,270","±435","5.5%","±0.7","1,353","±255","9.9%","±1.9","974","±203","6.6%","±1.4","3,182","±355","11.7%","±1.3","1,428","±272","8.2%","±1.6","3,076","±361","8.1%","±0.9","1,486","±295","8.0%","±1.6","587","±245","2.9%","±1.2","596","±200","6.2%","±2.1","771","±194","6.5%","±1.6","1,459","±318","8.3%","±1.8","353","±113","4.6%","±1.4","955","±220","5.2%","±1.2"
"    9th to 12th grade, no diploma","1,946","±286","16.5%","±2.4","5,877","±674","14.1%","±1.6","6,037","±519","10.2%","±0.9","2,322","±353","17.1%","±2.6","2,837","±329","19.1%","±2.2","3,645","±581","13.4%","±1.8","2,881","±403","16.5%","±2.3","4,964","±558","13.0%","±1.5","3,580","±426","19.2%","±2.3","1,691","±295","8.4%","±1.5","1,745","±319","18.1%","±3.3","1,529","±263","13.0%","±2.2","2,953","±391","16.8%","±2.2","688","±196","8.9%","±2.5","2,148","±391","11.6%","±2.1"
"    High school graduate (includes equivalency)","4,993","±359","42.4%","±3.2","14,088","±793","33.7%","±1.9","12,937","±817","21.9%","±1.4","5,855","±402","43.0%","±3.0","5,882","±445","39.7%","±2.9","8,908","±866","32.7%","±1.9","6,440","±479","37.0%","±2.7","13,982","±820","36.6%","±2.2","7,425","±508","39.8%","±2.7","3,768","±410","18.7%","±2.0","3,332","±397","34.6%","±3.9","3,600","±338","30.5%","±2.7","6,764","±602","38.6%","±3.4","2,874","±310","37.4%","±3.6","6,742","±601","36.4%","±3.2"
"    Some college, no degree","1,844","±274","15.7%","±2.3","9,420","±765","22.6%","±1.8","9,919","±629","16.8%","±1.1","2,011","±334","14.8%","±2.4","2,318","±331","15.6%","±2.2","4,844","±548","17.8%","±1.6","2,960","±426","17.0%","±2.5","6,951","±610","18.2%","±1.6","2,822","±388","15.1%","±2.1","3,943","±451","19.6%","±2.2","2,310","±387","24.0%","±3.9","2,366","±287","20.1%","±2.4","3,024","±359","17.2%","±2.0","1,506","±260","19.6%","±3.2","3,812","±425","20.6%","±2.3"
"    Associate's degree","518","±132","4.4%","±1.1","3,187","±444","7.6%","±1.1","2,632","±337","4.4%","±0.6","764","±198","5.6%","±1.5","795","±174","5.4%","±1.2","1,599","±284","5.9%","±1.1","1,058","±233","6.1%","±1.3","2,427","±351","6.4%","±0.9","945","±213","5.1%","±1.1","1,110","±238","5.5%","±1.2","523","±188","5.4%","±2.0","612","±163","5.2%","±1.4","1,009","±213","5.8%","±1.2","673","±187","8.8%","±2.5","1,245","±311","6.7%","±1.7"
"    Bachelor's degree","772","±196","6.6%","±1.6","4,197","±488","10.1%","±1.2","12,973","±535","21.9%","±0.9","846","±168","6.2%","±1.2","1,355","±246","9.1%","±1.7","3,167","±441","11.6%","±1.6","1,672","±279","9.6%","±1.6","3,868","±438","10.1%","±1.1","1,465","±249","7.8%","±1.3","4,424","±374","21.9%","±1.8","536","±139","5.6%","±1.5","1,824","±263","15.5%","±2.2","1,364","±300","7.8%","±1.7","952","±167","12.4%","±2.2","1,930","±355","10.4%","±1.9"
"    Graduate or professional degree","464","±201","3.9%","±1.7","2,033","±285","4.9%","±0.7","11,403","±637","19.3%","±1.1","456","±138","3.4%","±1.0","668","±185","4.5%","±1.2","1,922","±288","7.0%","±1.1","975","±197","5.6%","±1.1","2,898","±462","7.6%","±1.2","946","±205","5.1%","±1.1","4,637","±471","23.0%","±2.3","588","±213","6.1%","±2.2","1,092","±199","9.3%","±1.7","965","±208","5.5%","±1.2","645","±145","8.4%","±1.9","1,694","±274","9.1%","±1.5"
"    Percent high school graduate or higher","(X)","(X)","73.0%","±2.8","(X)","(X)","78.9%","±1.9","(X)","(X)","84.3%","±1.2","(X)","(X)","73.0%","±3.0","(X)","(X)","74.3%","±2.6","(X)","(X)","75.0%","±2.0","(X)","(X)","75.3%","±2.4","(X)","(X)","78.9%","±1.6","(X)","(X)","72.9%","±2.8","(X)","(X)","88.7%","±2.0","(X)","(X)","75.7%","±3.1","(X)","(X)","80.5%","±2.3","(X)","(X)","74.8%","±2.9","(X)","(X)","86.5%","±3.0","(X)","(X)","83.3%","±2.4"
"    Percent bachelor's degree or higher","(X)","(X)","10.5%","±2.3","(X)","(X)","14.9%","±1.2","(X)","(X)","41.2%","±1.2","(X)","(X)","9.6%","±1.7","(X)","(X)","13.6%","±2.0","(X)","(X)","18.7%","±1.8","(X)","(X)","15.2%","±2.2","(X)","(X)","17.7%","±1.8","(X)","(X)","12.9%","±1.8","(X)","(X)","44.9%","±2.5","(X)","(X)","11.7%","±3.0","(X)","(X)","24.7%","±2.7","(X)","(X)","13.3%","±2.1","(X)","(X)","20.8%","±3.0","(X)","(X)","19.6%","±2.3"
"VETERAN STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over","13,225","±160","13,225","(X)","47,499","±51","47,499","(X)","94,458","±96","94,458","(X)","15,550","±28","15,550","(X)","17,042","±40","17,042","(X)","32,080","±50","32,080","(X)","19,306","±24","19,306","(X)","42,738","±90","42,738","(X)","20,905","±163","20,905","(X)","22,445","±57","22,445","(X)","11,013","±4","11,013","(X)","12,830","±147","12,830","(X)","19,937","±53","19,937","(X)","8,824","±43","8,824","(X)","20,612","±46","20,612","(X)"
"    Civilian veterans","1,311","±168","9.9%","±1.3","4,962","±497","10.4%","±1.0","5,720","±450","6.1%","±0.5","1,468","±226","9.4%","±1.5","1,393","±213","8.2%","±1.3","3,078","±341","9.6%","±1.1","1,988","±240","10.3%","±1.2","3,414","±313","8.0%","±0.7","2,339","±254","11.2%","±1.2","1,989","±247","8.9%","±1.1","991","±181","9.0%","±1.6","1,723","±240","13.4%","±1.9","2,017","±274","10.1%","±1.4","1,398","±152","15.8%","±1.7","2,678","±330","13.0%","±1.6"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","17,697","±57","17,697","(X)","65,105","±248","65,105","(X)","113,726","±229","113,726","(X)","20,160","±89","20,160","(X)","21,808","±86","21,808","(X)","41,758","±136","41,758","(X)","24,736","±108","24,736","(X)","57,468","±210","57,468","(X)","27,536","±118","27,536","(X)","31,203","±112","31,203","(X)","14,465","±64","14,465","(X)","16,107","±97","16,107","(X)","25,558","±107","25,558","(X)","10,372","±35","10,372","(X)","26,216","±129","26,216","(X)"
"    Same house","15,911","±396","89.9%","±2.2","55,731","±1,234","85.6%","±1.8","82,861","±1,701","72.9%","±1.5","18,206","±512","90.3%","±2.5","19,449","±549","89.2%","±2.4","36,894","±685","88.4%","±1.6","21,709","±563","87.8%","±2.3","48,927","±1,033","85.1%","±1.8","24,913","±568","90.5%","±2.1","27,875","±862","89.3%","±2.8","13,869","±286","95.9%","±1.8","14,768","±386","91.7%","±2.4","22,210","±606","86.9%","±2.2","9,314","±302","89.8%","±3.0","23,306","±680","88.9%","±2.5"
"    Different house in the U.S.","1,772","±382","10.0%","±2.2","9,255","±1,165","14.2%","±1.8","30,293","±1,672","26.6%","±1.5","1,939","±516","9.6%","±2.6","2,305","±523","10.6%","±2.4","4,831","±671","11.6%","±1.6","3,027","±570","12.2%","±2.3","8,483","±1,033","14.8%","±1.8","2,597","±571","9.4%","±2.1","3,187","±852","10.2%","±2.7","593","±266","4.1%","±1.8","1,329","±381","8.3%","±2.4","3,318","±555","13.0%","±2.2","1,058","±312","10.2%","±3.0","2,910","±659","11.1%","±2.5"
"        Same county","753","±296","4.3%","±1.7","4,281","±903","6.6%","±1.4","15,503","±1,543","13.6%","±1.4","1,198","±381","5.9%","±1.9","1,361","±415","6.2%","±1.9","1,533","±565","3.7%","±1.4","1,502","±466","6.1%","±1.9","4,200","±848","7.3%","±1.5","1,455","±489","5.3%","±1.8","779","±292","2.5%","±0.9","227","±159","1.6%","±1.1","550","±196","3.4%","±1.2","1,757","±366","6.9%","±1.4","163","±135","1.6%","±1.3","1,614","±560","6.2%","±2.1"
"        Different county","1,019","±231","5.8%","±1.3","4,974","±942","7.6%","±1.5","14,790","±1,326","13.0%","±1.2","741","±278","3.7%","±1.4","944","±368","4.3%","±1.7","3,298","±647","7.9%","±1.5","1,525","±452","6.2%","±1.8","4,283","±906","7.5%","±1.6","1,142","±339","4.1%","±1.2","2,408","±870","7.7%","±2.8","366","±206","2.5%","±1.4","779","±314","4.8%","±1.9","1,561","±402","6.1%","±1.6","895","±281","8.6%","±2.7","1,296","±421","4.9%","±1.6"
"            Same state","827","±227","4.7%","±1.3","3,572","±742","5.5%","±1.1","10,990","±1,048","9.7%","±0.9","477","±254","2.4%","±1.3","733","±313","3.4%","±1.4","2,809","±628","6.7%","±1.5","1,307","±449","5.3%","±1.8","3,514","±778","6.1%","±1.3","1,051","±341","3.8%","±1.2","1,617","±732","5.2%","±2.3","348","±202","2.4%","±1.4","572","±287","3.6%","±1.8","918","±293","3.6%","±1.1","673","±259","6.5%","±2.5","934","±366","3.6%","±1.4"
"            Different state","192","±94","1.1%","±0.5","1,402","±604","2.2%","±0.9","3,800","±682","3.3%","±0.6","264","±178","1.3%","±0.9","211","±144","1.0%","±0.7","489","±181","1.2%","±0.4","218","±142","0.9%","±0.6","769","±324","1.3%","±0.6","91","±54","0.3%","±0.2","791","±446","2.5%","±1.4","18","±28","0.1%","±0.2","207","±105","1.3%","±0.7","643","±237","2.5%","±0.9","222","±106","2.1%","±1.0","362","±165","1.4%","±0.6"
"    Abroad","14","±25","0.1%","±0.1","119","±112","0.2%","±0.2","572","±215","0.5%","±0.2","15","±25","0.1%","±0.1","54","±58","0.2%","±0.3","33","±37","0.1%","±0.1","0","±132","0.0%","±0.2","58","±49","0.1%","±0.1","26","±38","0.1%","±0.1","141","±122","0.5%","±0.4","3","±5","0.0%","±0.1","10","±16","0.1%","±0.1","30","±36","0.1%","±0.1","0","±132","0.0%","±0.4","0","±132","0.0%","±0.2"
"PLACE OF BIRTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","17,840","*****","17,840","(X)","66,359","*****","66,359","(X)","115,070","*****","115,070","(X)","20,421","*****","20,421","(X)","22,121","*****","22,121","(X)","42,212","*****","42,212","(X)","25,024","*****","25,024","(X)","58,347","*****","58,347","(X)","27,798","*****","27,798","(X)","31,508","*****","31,508","(X)","14,556","*****","14,556","(X)","16,266","*****","16,266","(X)","25,876","*****","25,876","(X)","10,430","*****","10,430","(X)","26,498","*****","26,498","(X)"
"    Native","17,273","±173","96.8%","±1.0","61,882","±589","93.3%","±0.9","102,408","±749","89.0%","±0.7","19,811","±175","97.0%","±0.9","21,560","±142","97.5%","±0.6","38,623","±357","91.5%","±0.8","24,513","±180","98.0%","±0.7","55,698","±436","95.5%","±0.7","27,077","±183","97.4%","±0.7","29,775","±341","94.5%","±1.1","14,264","±114","98.0%","±0.8","15,279","±210","93.9%","±1.3","25,121","±197","97.1%","±0.8","10,218","±106","98.0%","±1.0","25,994","±222","98.1%","±0.8"
"        Born in United States","17,195","±180","96.4%","±1.0","61,450","±605","92.6%","±0.9","101,047","±775","87.8%","±0.7","19,718","±184","96.6%","±0.9","21,490","±153","97.1%","±0.7","38,429","±338","91.0%","±0.8","24,397","±188","97.5%","±0.8","55,136","±321","94.5%","±0.6","26,994","±190","97.1%","±0.7","29,429","±368","93.4%","±1.2","14,185","±154","97.5%","±1.1","15,184","±223","93.3%","±1.4","25,013","±238","96.7%","±0.9","10,178","±135","97.6%","±1.3","25,877","±221","97.7%","±0.8"
"            State of residence","13,840","±432","77.6%","±2.4","41,314","±1,141","62.3%","±1.7","65,754","±1,284","57.1%","±1.1","15,046","±569","73.7%","±2.8","16,431","±618","74.3%","±2.8","28,776","±665","68.2%","±1.6","15,522","±663","62.0%","±2.6","39,948","±935","68.5%","±1.6","21,043","±625","75.7%","±2.2","19,142","±712","60.8%","±2.3","11,300","±505","77.6%","±3.5","8,992","±536","55.3%","±3.3","17,902","±796","69.2%","±3.1","5,646","±350","54.1%","±3.4","17,149","±737","64.7%","±2.8"
"            Different state","3,355","±401","18.8%","±2.2","20,136","±1,187","30.3%","±1.8","35,293","±1,237","30.7%","±1.1","4,672","±539","22.9%","±2.6","5,059","±607","22.9%","±2.7","9,653","±704","22.9%","±1.7","8,875","±696","35.5%","±2.8","15,188","±838","26.0%","±1.4","5,951","±602","21.4%","±2.2","10,287","±707","32.6%","±2.2","2,885","±494","19.8%","±3.4","6,192","±463","38.1%","±2.8","7,111","±740","27.5%","±2.9","4,532","±383","43.5%","±3.7","8,728","±699","32.9%","±2.6"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","78","±53","0.4%","±0.3","432","±131","0.7%","±0.2","1,361","±288","1.2%","±0.3","93","±70","0.5%","±0.3","70","±57","0.3%","±0.3","194","±95","0.5%","±0.2","116","±71","0.5%","±0.3","562","±322","1.0%","±0.6","83","±65","0.3%","±0.2","346","±144","1.1%","±0.5","79","±81","0.5%","±0.6","95","±49","0.6%","±0.3","108","±97","0.4%","±0.4","40","±49","0.4%","±0.5","117","±97","0.4%","±0.4"
"    Foreign born","567","±173","3.2%","±1.0","4,477","±589","6.7%","±0.9","12,662","±749","11.0%","±0.7","610","±175","3.0%","±0.9","561","±142","2.5%","±0.6","3,589","±357","8.5%","±0.8","511","±180","2.0%","±0.7","2,649","±436","4.5%","±0.7","721","±183","2.6%","±0.7","1,733","±341","5.5%","±1.1","292","±114","2.0%","±0.8","987","±210","6.1%","±1.3","755","±197","2.9%","±0.8","212","±106","2.0%","±1.0","504","±222","1.9%","±0.8"
"U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population","567","±173","567","(X)","4,477","±589","4,477","(X)","12,662","±749","12,662","(X)","610","±175","610","(X)","561","±142","561","(X)","3,589","±357","3,589","(X)","511","±180","511","(X)","2,649","±436","2,649","(X)","721","±183","721","(X)","1,733","±341","1,733","(X)","292","±114","292","(X)","987","±210","987","(X)","755","±197","755","(X)","212","±106","212","(X)","504","±222","504","(X)"
"    Naturalized U.S. citizen","137","±156","24.2%","±19.3","1,771","±428","39.6%","±8.0","3,220","±456","25.4%","±3.8","172","±98","28.2%","±13.4","200","±71","35.7%","±11.7","842","±255","23.5%","±7.4","28","±33","5.5%","±6.6","870","±259","32.8%","±8.9","226","±189","31.3%","±20.7","700","±212","40.4%","±10.2","66","±49","22.6%","±17.3","156","±128","15.8%","±12.0","104","±62","13.8%","±8.3","107","±65","50.5%","±26.3","345","±192","68.5%","±21.9"
