"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Bachelor's degree or higher","10.0%","±2.8","11.3%","±3.4","8.7%","±3.6","15.7%","±2.4","15.8%","±3.2","15.6%","±3.0","37.5%","±2.4","40.2%","±3.3","35.0%","±2.7","10.6%","±3.1","14.5%","±5.4","7.1%","±2.8","14.1%","±3.4","13.6%","±4.2","14.6%","±3.9","19.6%","±2.8","19.6%","±3.9","19.7%","±3.1","15.9%","±3.2","15.4%","±4.3","16.4%","±4.7","15.0%","±2.4","15.7%","±3.0","14.4%","±2.8","15.9%","±2.9","15.7%","±4.1","16.1%","±3.8","49.7%","±3.2","52.1%","±4.2","47.5%","±4.0","18.8%","±5.0","15.8%","±7.1","21.7%","±6.1","28.7%","±4.6","31.3%","±6.5","26.4%","±5.3","17.0%","±3.9","18.0%","±5.5","16.0%","±5.1","22.1%","±5.4","23.8%","±7.9","20.6%","±5.8","21.4%","±4.3","21.3%","±5.3","21.5%","±4.9"
"Population 65 years and over","2,332","±80","1,066","±8","1,266","±80","6,597","±91","2,762","±60","3,835","±74","10,173","±117","3,998","±59","6,175","±90","3,387","±21","1,417","±21","1,970","±21","3,720","±82","1,581","±51","2,139","±64","6,628","±88","2,948","±64","3,680","±62","4,585","±23","1,981","±21","2,604","±10","7,099","±141","3,114","±124","3,985","±47","3,866","±63","1,754","±60","2,112","±48","3,643","±114","1,649","±65","1,994","±64","2,141","±33","977","±33","1,164","±21","3,475","±40","1,568","±9","1,907","±39","4,411","±98","1,877","±56","2,534","±100","3,066","±48","1,399","±35","1,667","±30","4,821","±106","2,220","±81","2,601","±55"
"High school graduate or higher","64.0%","±6.5","63.6%","±8.9","64.3%","±7.7","62.0%","±4.7","64.3%","±6.6","60.3%","±5.3","79.5%","±2.5","84.1%","±2.9","76.5%","±3.4","68.2%","±4.5","63.0%","±7.4","71.9%","±5.4","69.0%","±4.6","69.4%","±7.6","68.7%","±5.1","73.8%","±3.6","73.3%","±5.2","74.2%","±4.5","64.0%","±5.0","58.1%","±7.7","68.5%","±6.0","67.8%","±3.8","69.3%","±5.8","66.7%","±4.3","66.6%","±5.4","65.5%","±7.0","67.5%","±6.7","83.2%","±3.6","87.9%","±4.4","79.3%","±4.8","66.8%","±5.9","76.2%","±5.8","58.9%","±8.8","85.1%","±4.5","87.2%","±4.9","83.4%","±6.7","60.5%","±5.4","55.8%","±9.4","63.9%","±7.4","85.2%","±2.7","89.8%","±3.8","81.3%","±3.7","78.3%","±4.9","76.2%","±7.0","80.0%","±5.2"
"Bachelor's degree or higher","8.4%","±3.0","9.4%","±4.5","7.7%","±3.5","10.2%","±2.6","14.1%","±4.7","7.4%","±2.5","39.0%","±2.8","54.3%","±4.0","29.1%","±3.4","9.2%","±3.4","13.6%","±4.9","6.0%","±3.8","13.3%","±3.4","19.0%","±6.7","9.1%","±3.3","17.6%","±2.8","22.9%","±4.2","13.3%","±3.3","14.1%","±4.1","18.6%","±5.9","10.6%","±4.2","9.6%","±2.5","13.6%","±4.1","6.5%","±2.4","13.2%","±3.5","22.2%","±6.6","5.7%","±2.6","32.0%","±4.9","44.1%","±7.4","22.1%","±4.9","10.7%","±3.5","12.7%","±5.7","9.1%","±4.7","30.2%","±7.2","42.3%","±8.9","20.2%","±7.5","8.4%","±3.2","13.2%","±6.0","4.9%","±2.7","27.4%","±4.8","34.9%","±7.2","21.2%","±4.9","22.1%","±4.9","31.4%","±7.9","14.1%","±4.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","28.7%","±6.7","24.0%","±7.1","34.8%","±8.8","25.3%","±3.7","21.2%","±4.8","29.4%","±5.0","42.0%","±5.2","40.3%","±6.6","43.5%","±5.9","26.3%","±6.3","23.4%","±6.8","29.8%","±8.4","25.8%","±5.3","19.2%","±6.8","32.5%","±6.5","33.0%","±6.7","30.5%","±7.2","35.7%","±7.9","35.2%","±6.2","30.1%","±7.1","40.7%","±8.3","31.6%","±4.8","29.0%","±5.2","34.0%","±5.7","31.5%","±7.5","32.0%","±10.2","30.9%","±7.9","31.4%","±8.9","32.1%","±11.0","30.8%","±10.4","27.8%","±9.2","30.2%","±10.5","25.8%","±12.9","39.2%","±9.2","44.8%","±14.0","32.0%","±10.6","25.2%","±7.3","26.9%","±8.3","23.5%","±9.4","25.0%","±8.0","20.9%","±10.0","29.3%","±10.5","26.5%","±7.7","20.6%","±8.7","34.8%","±10.8"
"    High school graduate (includes equivalency)","16.5%","±4.5","12.6%","±4.9","20.6%","±6.2","12.3%","±2.6","11.1%","±3.5","13.5%","±3.7","22.9%","±3.1","19.2%","±3.7","26.4%","±4.1","11.5%","±3.2","9.7%","±4.0","12.8%","±3.8","21.1%","±5.0","17.8%","±6.4","24.8%","±6.4","11.6%","±2.5","10.3%","±3.3","12.8%","±3.0","16.0%","±4.1","16.1%","±4.9","15.9%","±5.2","13.7%","±2.1","12.8%","±2.5","14.6%","±2.9","16.1%","±4.4","11.3%","±3.8","20.3%","±6.2","7.4%","±2.8","6.8%","±3.9","7.8%","±3.6","14.8%","±5.6","17.8%","±8.2","11.0%","±5.9","25.2%","±6.6","24.1%","±7.5","26.0%","±9.1","17.2%","±4.2","20.3%","±6.1","14.2%","±3.8","8.4%","±3.0","5.7%","±3.0","11.3%","±4.6","16.6%","±5.4","18.7%","±7.5","14.7%","±5.5"
"    Some college or associate's degree","11.5%","±4.0","10.3%","±5.1","12.2%","±5.5","6.2%","±1.7","5.7%","±2.1","6.6%","±2.3","21.0%","±3.1","18.8%","±3.8","22.7%","±4.2","13.4%","±4.4","8.4%","±4.8","16.6%","±6.6","7.1%","±2.4","3.2%","±2.1","9.8%","±3.8","9.6%","±2.6","7.0%","±3.0","11.8%","±3.6","19.7%","±4.6","11.0%","±4.8","25.4%","±6.7","6.2%","±1.7","5.2%","±2.3","7.1%","±2.4","11.2%","±4.8","4.7%","±4.1","16.7%","±7.5","8.1%","±2.5","4.1%","±2.4","11.4%","±3.7","10.7%","±4.3","5.3%","±5.6","15.5%","±7.1","20.2%","±4.8","15.5%","±6.8","23.6%","±7.0","9.4%","±3.2","4.3%","±2.8","12.6%","±4.7","19.5%","±6.9","13.1%","±9.7","22.7%","±8.7","11.3%","±4.1","7.8%","±4.5","14.2%","±5.9"
"    Bachelor's degree or higher","2.7%","±2.3","1.3%","±2.2","4.2%","±3.7","4.4%","±2.6","4.4%","±2.7","4.4%","±2.9","9.6%","±1.5","8.1%","±1.7","11.0%","±2.0","2.3%","±2.1","2.2%","±2.7","2.4%","±3.7","2.3%","±2.1","2.8%","±3.2","1.9%","±2.3","4.8%","±2.2","5.5%","±3.3","4.0%","±1.9","6.2%","±2.6","4.9%","±3.4","7.4%","±3.8","2.0%","±1.3","0.9%","±0.9","3.0%","±2.2","7.1%","±3.7","4.4%","±2.6","9.7%","±6.4","3.0%","±1.5","3.5%","±2.1","2.6%","±1.4","1.1%","±1.2","0.8%","±0.9","1.3%","±2.0","3.9%","±2.0","5.1%","±3.0","2.4%","±2.2","5.4%","±3.3","5.3%","±5.9","5.4%","±5.1","9.7%","±4.7","9.0%","±5.3","10.4%","±6.7","6.5%","±3.2","4.7%","±3.0","8.5%","±5.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,943","±1,673","37,970","±2,567","26,250","±2,197","34,583","±1,602","39,779","±2,035","30,037","±1,727","29,184","±1,323","31,021","±1,168","27,119","±930","26,573","±1,446","30,439","±2,923","22,110","±2,208","30,006","±2,857","32,774","±4,165","25,632","±2,961","28,548","±1,581","32,214","±2,272","23,463","±2,588","26,932","±1,830","31,034","±2,443","22,409","±2,974","33,917","±1,768","40,737","±1,224","27,825","±1,789","30,214","±1,207","32,720","±3,179","27,103","±2,964","42,205","±2,158","52,744","±3,162","32,037","±2,478","32,220","±2,492","36,143","±1,822","25,008","±2,719","21,393","±1,254","24,841","±2,301","18,881","±938","27,150","±2,064","32,420","±2,128","22,383","±2,230","21,696","±1,957","26,322","±5,610","18,295","±3,195","30,897","±1,476","40,425","±2,473","25,392","±1,467"
"    Less than high school graduate","25,044","±4,147","28,096","±3,421","17,467","±6,295","19,028","±2,330","21,545","±4,350","15,216","±2,985","20,286","±1,443","21,442","±2,458","19,096","±2,131","16,368","±1,135","17,485","±5,497","14,337","±1,620","22,796","±2,932","24,901","±8,158","18,596","±3,701","16,636","±3,233","16,344","±3,156","17,917","±5,728","13,299","±4,863","16,012","±9,523","10,588","±5,197","20,630","±2,166","26,081","±4,797","17,480","±4,998","20,724","±2,253","21,538","±1,981","17,119","±3,660","20,545","±3,228","22,554","±5,174","16,080","±6,569","21,966","±1,827","21,154","±4,413","22,873","±2,086","13,795","±2,817","13,333","±2,729","16,346","±9,804","17,182","±6,984","24,286","±9,988","15,737","±5,115","20,306","±4,631","26,708","±6,825","15,978","±2,605","27,341","±8,905","33,832","±8,155","20,330","±11,551"
"    High school graduate (includes equivalency)","31,602","±3,155","37,964","±3,581","25,409","±3,307","32,081","±1,362","37,751","±3,635","26,820","±1,795","23,985","±1,198","24,868","±1,414","21,434","±2,217","26,737","±1,233","31,036","±4,026","21,230","±1,369","25,536","±3,789","30,889","±7,565","17,720","±4,295","26,770","±1,482","31,323","±1,365","21,040","±1,687","25,619","±2,430","28,782","±3,976","21,834","±3,438","30,128","±1,726","36,511","±4,879","25,397","±1,700","30,180","±2,212","35,612","±5,569","24,863","±3,486","27,629","±2,663","29,316","±4,820","26,699","±2,734","30,054","±5,629","35,770","±3,645","22,484","±4,192","16,828","±2,494","22,091","±8,161","15,938","±1,804","24,803","±2,211","30,657","±2,813","21,439","±1,602","19,274","±2,883","21,537","±7,268","14,763","±4,612","24,996","±2,138","33,794","±11,448","20,625","±5,046"
"    Some college or associate's degree","31,621","±2,538","45,099","±8,339","26,159","±4,469","35,905","±1,668","43,525","±2,265","30,223","±2,417","27,936","±1,945","30,058","±2,169","26,562","±1,314","30,568","±5,393","35,089","±4,140","25,848","±7,872","31,461","±1,866","35,808","±5,238","27,465","±4,137","27,547","±2,854","35,671","±4,672","22,170","±1,895","22,424","±6,075","30,615","±4,911","20,643","±3,123","36,888","±2,702","45,950","±3,725","28,680","±2,270","30,730","±1,803","35,967","±2,923","26,632","±6,050","35,166","±4,524","45,125","±7,168","25,119","±2,649","31,888","±2,003","36,370","±1,468","21,728","±4,678","20,734","±1,377","27,725","±5,214","18,408","±1,217","23,452","±5,380","34,542","±7,890","17,699","±3,175","21,210","±2,737","22,449","±12,530","19,605","±8,159","31,498","±3,855","39,593","±5,255","26,587","±2,899"
"    Bachelor's degree","44,590","±5,234","51,818","±11,411","41,813","±6,258","44,507","±3,901","50,017","±4,586","41,786","±2,227","32,410","±2,595","37,887","±3,114","29,716","±1,736","43,512","±4,741","44,576","±11,639","36,667","±19,959","43,574","±3,168","45,263","±5,355","41,518","±4,995","41,650","±2,685","46,031","±6,042","32,635","±6,198","48,558","±6,811","62,679","±25,923","44,494","±10,007","45,294","±6,628","53,507","±4,403","37,753","±3,598","41,645","±6,347","44,000","±15,054","40,286","±6,156","50,712","±3,562","58,403","±11,566","39,853","±12,240","38,705","±1,824","42,679","±12,975","38,387","±1,734","43,333","±9,266","47,019","±10,741","37,115","±11,936","41,925","±4,745","52,887","±18,257","34,634","±5,323","27,888","±9,159","31,471","±8,238","18,036","±16,317","37,986","±11,276","44,449","±16,919","26,667","±3,544"
"    Graduate or professional degree","51,433","±6,906","50,185","±30,535","53,086","±4,173","54,313","±2,667","55,556","±11,175","54,213","±2,311","48,764","±2,538","54,200","±5,105","44,223","±1,735","53,264","±1,169","56,094","±42,423","53,201","±1,025","52,303","±6,777","47,708","±10,873","55,347","±8,008","51,149","±3,740","63,286","±9,215","47,913","±2,227","56,989","±4,041","55,257","±21,720","58,175","±3,778","50,388","±2,886","55,917","±8,223","49,122","±2,158","45,839","±2,808","44,755","±3,478","46,628","±6,245","67,928","±8,414","91,250","±16,081","55,592","±4,494","56,599","±1,798","86,589","±18,647","55,422","±2,847","49,531","±12,098","62,721","±52,229","48,621","±7,372","52,262","±7,879","57,167","±36,811","50,714","±6,562","37,042","±20,307","76,250","±85,957","35,750","±7,044","62,832","±7,926","63,750","±2,660","53,967","±10,234"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","3.3%","(X)","(X)","(X)","(X)","(X)","5.2%","(X)","(X)","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)","(X)","3.4%","(X)","(X)","(X)","(X)","(X)","3.4%","(X)","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","5.1%","(X)","(X)","(X)","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","3.3%","(X)","(X)","(X)","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)"
