"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Bachelor's degree or higher","9.2%","±2.8","10.5%","±3.6","7.8%","±3.2","14.8%","±2.7","14.1%","±3.3","15.4%","±3.5","37.8%","±2.3","40.1%","±3.0","35.8%","±2.9","11.2%","±3.3","14.2%","±5.5","8.3%","±3.3","15.4%","±3.4","16.7%","±4.6","14.1%","±4.1","19.8%","±3.0","18.4%","±3.4","21.1%","±3.9","12.8%","±2.6","13.6%","±3.7","12.0%","±3.6","14.0%","±2.1","13.9%","±2.7","14.1%","±2.6","14.5%","±2.8","14.7%","±3.3","14.3%","±3.8","49.9%","±2.9","52.8%","±4.0","47.1%","±3.7","16.1%","±5.3","16.9%","±6.4","15.2%","±5.5","26.9%","±5.0","26.3%","±6.7","27.5%","±5.6","17.6%","±4.3","18.5%","±5.1","16.8%","±5.4","21.6%","±4.5","24.5%","±8.3","19.1%","±5.4","22.1%","±4.4","22.4%","±5.3","21.8%","±5.3"
"Population 65 years and over","2,219","±77","1,015","±31","1,204","±60","6,369","±90","2,654","±67","3,715","±76","9,807","±100","3,796","±64","6,011","±72","3,309","±98","1,380","±98","1,929","±98","3,731","±100","1,611","±79","2,120","±48","6,552","±98","2,895","±85","3,657","±79","4,389","±15","1,866","±2","2,523","±15","6,997","±151","3,059","±147","3,938","±39","3,754","±85","1,661","±84","2,093","±54","3,440","±95","1,534","±55","1,906","±55","1,981","±66","885","±66","1,096","±98","3,369","±61","1,499","±10","1,870","±59","4,226","±137","1,804","±68","2,422","±107","2,992","±2","1,355","±98","1,637","±2","4,629","±98","2,163","±86","2,466","±32"
"High school graduate or higher","61.4%","±6.7","63.1%","±8.5","60.0%","±8.4","63.7%","±4.5","66.4%","±5.9","61.7%","±6.1","77.9%","±2.6","81.5%","±3.7","75.6%","±3.4","65.9%","±4.9","62.3%","±7.7","68.5%","±5.8","66.5%","±5.4","66.2%","±7.5","66.7%","±6.1","70.2%","±4.2","70.2%","±5.2","70.3%","±4.7","64.4%","±5.1","63.8%","±6.8","64.9%","±6.5","66.1%","±3.4","68.0%","±4.9","64.7%","±4.9","61.8%","±5.0","60.3%","±6.5","62.9%","±7.5","79.9%","±4.1","84.7%","±5.0","76.1%","±5.2","61.0%","±6.1","70.8%","±8.1","53.1%","±7.9","80.5%","±4.5","83.8%","±5.7","77.9%","±5.7","59.9%","±6.1","60.6%","±8.6","59.5%","±7.1","83.6%","±3.2","87.5%","±4.3","80.3%","±4.1","76.2%","±5.0","78.3%","±6.4","74.4%","±6.5"
"Bachelor's degree or higher","7.3%","±3.0","8.6%","±3.8","6.2%","±3.8","11.0%","±2.7","15.2%","±5.1","7.9%","±3.0","37.0%","±2.6","53.8%","±4.3","26.5%","±2.8","10.6%","±3.7","16.2%","±5.8","6.7%","±3.9","13.2%","±3.7","18.1%","±6.4","9.5%","±3.4","17.4%","±2.9","21.9%","±4.3","13.9%","±3.0","15.3%","±3.6","21.0%","±5.3","11.2%","±3.6","9.6%","±2.1","14.0%","±3.8","6.1%","±2.4","9.2%","±2.4","15.5%","±4.6","4.2%","±2.2","31.5%","±5.3","44.1%","±8.3","21.4%","±5.5","9.0%","±3.7","13.1%","±7.3","5.7%","±3.2","27.3%","±6.1","40.4%","±8.5","16.8%","±6.0","7.7%","±2.7","13.2%","±4.7","3.7%","±2.5","25.1%","±3.8","32.8%","±5.9","18.8%","±4.5","21.4%","±5.0","30.6%","±8.1","13.3%","±4.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","27.4%","±6.3","25.8%","±7.1","29.5%","±9.2","21.4%","±3.8","18.3%","±4.6","24.5%","±5.5","37.4%","±5.4","33.5%","±6.3","40.9%","±6.0","28.0%","±5.7","25.3%","±7.7","30.8%","±7.7","27.3%","±6.2","22.2%","±7.1","32.7%","±7.7","33.8%","±6.0","31.0%","±6.9","36.8%","±6.9","37.9%","±6.9","32.2%","±8.1","43.0%","±9.2","27.2%","±4.5","24.2%","±5.9","30.2%","±5.2","29.4%","±6.3","32.1%","±8.8","26.3%","±7.0","29.2%","±8.9","27.5%","±9.6","30.7%","±10.3","34.0%","±9.8","25.6%","±11.6","40.5%","±12.9","36.0%","±8.5","36.6%","±12.1","35.3%","±11.0","34.1%","±8.6","30.9%","±9.2","36.8%","±10.6","23.3%","±8.3","18.0%","±10.4","30.1%","±11.4","20.0%","±8.2","15.8%","±8.7","24.5%","±9.9"
"    High school graduate (includes equivalency)","15.5%","±4.4","12.2%","±4.5","19.0%","±6.1","10.8%","±2.2","8.5%","±3.0","13.0%","±2.8","21.6%","±2.7","16.9%","±3.5","25.7%","±3.7","14.6%","±3.6","13.4%","±5.6","15.6%","±4.1","19.6%","±4.6","15.5%","±5.2","23.9%","±5.8","11.5%","±2.6","9.3%","±3.3","13.5%","±3.1","14.4%","±4.5","14.6%","±5.3","14.2%","±5.8","11.5%","±2.2","9.7%","±2.1","13.3%","±3.2","12.9%","±4.0","9.1%","±3.2","16.4%","±6.4","5.7%","±2.4","6.3%","±3.0","5.2%","±3.0","11.9%","±3.6","11.0%","±4.5","12.9%","±5.8","21.8%","±6.9","18.9%","±7.8","24.2%","±8.1","16.5%","±3.9","16.4%","±5.1","16.6%","±5.2","7.1%","±2.9","3.9%","±2.8","10.6%","±4.9","17.1%","±5.5","16.8%","±6.9","17.4%","±6.0"
"    Some college or associate's degree","10.1%","±4.1","8.3%","±5.2","11.2%","±5.2","6.5%","±1.9","5.6%","±2.4","7.3%","±2.6","19.6%","±2.8","18.4%","±3.7","20.6%","±3.8","14.6%","±5.1","8.0%","±4.7","18.7%","±6.8","7.1%","±2.9","2.9%","±2.4","10.0%","±4.3","10.1%","±2.9","8.8%","±4.2","11.3%","±3.0","15.9%","±4.6","9.5%","±4.4","20.1%","±6.5","6.1%","±1.9","5.5%","±2.7","6.7%","±2.3","12.6%","±4.9","8.0%","±5.2","16.3%","±7.5","7.0%","±2.8","4.0%","±2.5","9.3%","±3.7","14.8%","±6.5","15.5%","±10.7","14.1%","±7.3","18.6%","±5.6","13.8%","±7.3","21.7%","±7.7","10.6%","±3.9","7.7%","±4.9","12.5%","±5.4","12.9%","±6.0","9.5%","±8.4","14.4%","±7.9","9.8%","±4.0","8.2%","±4.8","11.2%","±5.9"
"    Bachelor's degree or higher","2.3%","±1.9","1.5%","±2.7","3.1%","±2.7","4.5%","±2.3","5.1%","±2.9","4.1%","±2.5","8.7%","±1.3","6.9%","±1.5","10.6%","±2.2","2.1%","±2.1","2.2%","±2.9","1.9%","±3.2","2.7%","±2.4","2.9%","±3.3","2.5%","±3.2","5.7%","±2.4","6.2%","±3.5","5.2%","±3.1","5.4%","±3.2","5.0%","±3.9","5.7%","±4.5","3.4%","±1.9","1.2%","±1.2","5.4%","±3.3","6.5%","±3.6","3.4%","±2.4","9.7%","±6.3","2.6%","±1.1","2.7%","±1.6","2.4%","±1.3","1.5%","±1.7","1.0%","±1.1","2.0%","±3.1","3.4%","±1.7","2.3%","±1.7","4.7%","±3.0","3.6%","±2.7","1.7%","±2.7","5.3%","±4.7","6.0%","±3.8","4.7%","±3.9","7.6%","±6.4","5.0%","±3.0","5.1%","±3.8","4.9%","±4.0"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,732","±2,146","37,335","±3,058","24,991","±3,167","33,967","±1,487","38,853","±2,369","30,126","±1,861","28,710","±1,230","30,996","±1,192","26,634","±992","26,623","±1,538","30,517","±2,525","21,816","±2,171","30,255","±2,495","33,779","±3,677","26,075","±1,673","27,798","±2,118","32,481","±2,144","23,631","±2,381","26,672","±1,482","31,472","±2,311","21,495","±2,311","34,454","±1,305","40,849","±1,348","27,383","±1,928","29,493","±1,411","33,930","±1,998","25,232","±2,072","41,765","±1,602","50,871","±2,318","32,656","±2,396","31,636","±1,737","36,036","±1,935","22,911","±2,700","21,751","±1,825","24,903","±2,980","18,596","±1,799","27,319","±2,123","33,134","±2,262","22,175","±1,702","22,464","±2,786","27,871","±3,882","20,842","±1,221","31,332","±1,517","39,031","±3,515","25,389","±2,489"
"    Less than high school graduate","25,754","±5,267","29,405","±3,087","16,331","±4,408","19,153","±2,323","21,747","±5,523","16,200","±2,045","20,534","±1,394","21,370","±2,059","19,353","±1,519","16,969","±1,832","20,990","±5,602","14,437","±1,716","21,587","±2,362","22,154","±4,576","18,924","±5,646","17,694","±1,504","17,639","±1,679","17,813","±4,844","14,516","±7,197","21,825","±11,197","8,664","±2,302","22,163","±2,708","29,361","±5,522","16,948","±2,218","20,813","±1,600","21,518","±2,678","17,002","±4,459","21,752","±2,909","27,908","±5,078","15,517","±5,576","20,214","±4,749","17,337","±6,032","21,324","±1,645","13,596","±3,417","13,500","±4,243","13,947","±8,986","16,366","±5,115","25,238","±5,216","13,098","±3,473","25,568","±9,314","28,377","±4,918","13,214","±8,840","24,702","±9,390","34,426","±7,803","20,066","±16,973"
"    High school graduate (includes equivalency)","30,605","±3,827","36,756","±3,633","23,417","±3,484","31,932","±1,042","37,113","±3,613","26,567","±2,961","23,449","±1,401","24,741","±1,718","21,462","±1,860","26,216","±1,213","29,884","±2,864","21,228","±1,371","26,575","±2,748","32,120","±3,897","19,109","±4,788","27,157","±2,096","32,321","±2,032","20,549","±2,070","23,966","±2,631","26,971","±3,198","20,025","±3,997","31,356","±1,453","38,699","±4,533","25,632","±1,419","30,102","±2,097","35,176","±3,877","25,097","±2,277","30,024","±2,192","35,938","±9,371","26,048","±2,619","30,667","±4,619","35,774","±3,013","23,229","±3,713","16,541","±1,283","20,856","±8,090","15,259","±2,650","25,483","±2,221","30,884","±1,954","21,612","±1,203","21,703","±1,718","25,430","±5,896","18,327","±3,835","26,619","±2,539","36,432","±7,641","21,364","±3,670"
"    Some college or associate's degree","31,964","±3,530","44,048","±7,321","27,300","±3,978","36,224","±1,324","42,877","±1,821","30,295","±2,506","26,339","±1,299","28,584","±2,619","25,162","±1,835","30,041","±5,481","34,284","±2,368","24,107","±6,296","30,908","±2,803","36,766","±4,698","26,755","±1,969","26,673","±2,809","35,994","±4,455","22,490","±2,040","26,774","±2,878","32,856","±3,287","21,573","±3,075","37,349","±2,350","45,266","±5,438","28,891","±3,250","30,871","±1,689","37,748","±2,289","25,702","±4,994","34,075","±3,322","41,922","±5,046","25,250","±2,111","31,261","±2,715","35,789","±1,740","20,297","±4,262","22,229","±2,515","30,341","±4,643","18,782","±1,924","25,218","±5,783","35,398","±8,006","17,244","±3,158","22,299","±2,392","27,143","±11,474","22,052","±1,760","31,565","±3,350","38,776","±4,214","26,576","±3,685"
"    Bachelor's degree","43,993","±4,775","56,667","±16,679","40,922","±3,077","41,582","±2,014","49,050","±4,895","39,160","±3,401","32,767","±1,839","36,940","±4,047","30,185","±2,109","43,476","±6,240","48,173","±19,468","38,641","±5,922","43,380","±1,955","46,477","±4,406","41,667","±6,186","40,508","±2,657","45,688","±6,041","34,615","±5,859","45,112","±6,177","47,500","±11,187","32,220","±19,404","43,958","±5,333","56,006","±12,485","36,442","±3,347","36,742","±4,782","36,782","±6,055","36,607","±10,065","49,818","±3,713","55,855","±12,856","44,889","±6,453","39,276","±4,503","44,107","±12,046","38,076","±2,795","42,895","±8,406","44,583","±9,451","39,688","±18,388","46,144","±4,417","64,261","±27,292","40,672","±9,558","21,731","±9,553","22,212","±15,908","17,596","±11,950","36,908","±9,583","43,036","±10,334","29,531","±9,297"
"    Graduate or professional degree","43,942","±15,493","28,636","±64,605","50,299","±14,439","55,000","±6,549","62,041","±12,544","53,902","±3,287","47,249","±3,499","56,010","±6,596","43,504","±2,653","50,437","±6,804","36,111","±16,087","51,131","±873","53,563","±9,525","49,432","±18,300","55,368","±11,110","50,729","±4,071","56,705","±10,048","46,250","±5,453","55,990","±7,254","52,333","±16,714","57,912","±5,821","48,608","±1,238","56,042","±14,019","46,325","±3,259","43,368","±5,247","44,340","±10,591","40,313","±11,116","64,338","±6,080","83,611","±17,915","52,008","±4,076","52,869","±2,958","72,000","±62,235","50,119","±11,880","53,438","±14,414","62,569","±46,891","47,136","±14,990","56,616","±6,744","47,083","±23,142","58,494","±6,949","36,318","±5,838","43,036","±28,196","31,023","±9,970","54,679","±11,276","59,417","±15,191","53,205","±9,812"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","3.6%","(X)","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","(X)","4.3%","(X)","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","(X)","2.6%","(X)","(X)","(X)","(X)","(X)","3.2%","(X)","(X)","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","(X)","(X)","5.1%","(X)","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","(X)","2.6%","(X)","(X)","(X)","(X)","(X)","7.5%","(X)","(X)","(X)","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","2.7%","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)"
